"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"Kentucky";0;0;100;0;0;2;2;2;"LOCATION"
"Mitch McConnell";50;0;50;1;0;1;2;2;"PERSON"
"Egypt";100;0;0;2;0;0;2;4;"LOCATION"
"Jordan";100;0;0;2;0;0;2;14;"LOCATION"
"Harvard University";50;0;50;1;0;1;2;2;"ORGANIZATION"
"Columbia University";100;0;0;2;0;0;2;2;"ORGANIZATION"
"PH";0;50;50;0;1;1;2;5;"LOCATION"
"Ely Calil";0;0;100;0;0;2;2;34;"PERSON"
"Harper";100;0;0;2;0;0;2;6;"PERSON"
"Nigel Morgan";100;0;0;2;0;0;2;6;"PERSON"
"Sani Abacha";100;0;0;2;0;0;2;4;"PERSON"
"Dan Gertler";0;100;0;0;2;0;2;4;"PERSON"
"Wonga";0;100;0;0;2;0;2;4;"ORGANIZATION"
"Equatorial Guinea";0;0;100;0;0;2;2;4;"LOCATION"
"Ibrahim Babangida";100;0;0;2;0;0;2;2;"PERSON"
"Foreign Corrupt Practices Act";100;0;0;2;0;0;2;2;"ORGANIZATION"
"Democratic Republic of Congo";0;100;0;0;2;0;2;2;"LOCATION"
"American Treasury";0;100;0;0;2;0;2;2;"ORGANIZATION"
"Joseph Kabila";0;0;100;0;0;2;2;2;"PERSON"
"Etonian";100;0;0;2;0;0;2;2;"ORGANIZATION"
"Simon Mann";0;100;0;0;2;0;2;2;"PERSON"
"Severo Moto";0;100;0;0;2;0;2;2;"PERSON"
"Giuseppe Conte";0;0;100;0;0;2;2;6;"PERSON"
"Libya";50;50;0;1;1;0;2;4;"LOCATION"
"UN";50;50;0;1;1;0;2;6;"ORGANIZATION"
"Muammar Qaddafi";100;0;0;2;0;0;2;2;"PERSON"
"Yemen";50;50;0;1;1;0;2;3;"LOCATION"
"Qatar";100;0;0;2;0;0;2;2;"LOCATION"
"United Arab Emirates";50;50;0;1;1;0;2;5;"LOCATION"
"Brazil";0;50;50;0;1;1;2;6;"LOCATION"
"Croatia";100;0;0;2;0;0;2;2;"LOCATION"
"tweeted";50;50;0;1;1;0;2;2;"ORGANIZATION"
"North Dakota";50;50;0;1;1;0;2;3;"LOCATION"
"Thailand";50;50;0;1;1;0;2;2;"LOCATION"
"Andrew Ng";0;50;50;0;1;1;2;2;"PERSON"
"Tank Man";0;0;100;0;0;2;2;10;"ORGANIZATION"
"Wellington";0;100;0;0;2;0;2;2;"LOCATION"
"Winnie the Pooh";0;100;0;0;2;0;2;2;"PERSON"
"Pooh Bear";0;100;0;0;2;0;2;2;"ORGANIZATION"
"Tank Woman";0;100;0;0;2;0;2;2;"ORGANIZATION"
"Yue Xin";0;100;0;0;2;0;2;2;"PERSON"
"Jade Dussart";0;100;0;0;2;0;2;2;"PERSON"
"Action by Christians for the Abolition of Torture";0;100;0;0;2;0;2;2;"ORGANIZATION"
"Trocadéro Square";100;0;0;2;0;0;2;2;"LOCATION"
"Zhou";0;100;0;0;2;0;2;2;"PERSON"
"Tsinghua University";0;100;0;0;2;0;2;2;"ORGANIZATION"
"UBS";0;0;100;0;0;2;2;2;"ORGANIZATION"
"Cayman Islands";50;0;50;1;0;1;2;5;"LOCATION"
"S&P 500";50;0;50;1;0;1;2;2;"ORGANIZATION"
