Serial	user_id	user_screen_name	user_name	user_expanded_url	Facebook Page (https://www.facebook.com/)	RSS Feed link	Automatic RSS	Wikipedia page (https://en.wikipedia.org/wiki/)	Alexa page (https://www.alexa.com/siteinfo/)	user_display_url	user_verified	newssource	newssource:confidence	user_created_at	user_description	user_followers_count	user_favourites_count	user_friends_count	user_geo_enabled	user_lang	user_listed_count	user_location	country	country_code	Category	user_profile_image_url	user_statuses_count	user_time_zone	user_url	YouTube (http://www.youtube.com/)	GooglePlus (https://plus.google.com/+)	Instagram (https://www.instagram.com/)
21	5695632	BuzzFeed	BuzzFeed	https://www.buzzfeed.com/	BuzzFeed			https://en.wikipedia.org/wiki/BuzzFeed	https://www.alexa.com/siteinfo/buzzfeed.com	buzzfeed.com	1			Tue May 01 21:40:03 +0000 2007	@BuzzFeed	6563467	3324	2942	1	en	23065	New York	United States of America	US	Entertainment	http://pbs.twimg.com/profile_images/687767655214891008/n9pHVYUl_normal.png	194655	None	https://t.co/UhQYtFIPIq	user/BuzzFeedVideo	108807575261328575617/	
22	14780915	RollingStone	Rolling Stone	http://www.rollingstone.com/	RollingStone			https://en.wikipedia.org/wiki/Rolling_Stone	https://www.alexa.com/siteinfo/rollingstone.com	rollingstone.com	1			Thu May 15 02:52:27 +0000 2008	The latest news and more from Rolling Stone magazine and https://t.co/nFMXaq9sbV. Got a tip? Share it here: https://t.co/JkxAZoupLY	6493552	6	271	0	en	38159	New York, New York	United States of America	US	Entertainment	http://pbs.twimg.com/profile_images/875453682170576896/KDcOPtgI_normal.jpg	92857	None	http://t.co/zhpWt9kvuA	user/RollingStone	RollingStone	
23	36327407	htTweets	Hindustan Times	http://www.hindustantimes.com/	hindustantimes	https://www.hindustantimes.com/rss	https://www.hindustantimes.com/rss	https://en.wikipedia.org/wiki/Hindustan_Times	https://www.alexa.com/siteinfo/hindustantimes.com	hindustantimes.com	1			Wed Apr 29 10:11:34 +0000 2009	One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.	6464038	3054	736	1	en	6487	India	India	IN	General	http://pbs.twimg.com/profile_images/876785263011287040/cgUWlhF3_normal.jpg	488051	None	http://t.co/dCFWh1CEzO	user/ht	hindustantimes/posts	hindustantimes
24	14173315	NBCNews	NBC News	http://www.nbcnews.com/	NBCNews			https://en.wikipedia.org/wiki/NBCNews.com	https://www.alexa.com/siteinfo/nbcnews.com	NBCNews.com	1			Tue Mar 18 23:19:17 +0000 2008	The leading source of global news and info for more than 75 years. Snapchat: https://t.co/suOkoNb0KE	6112619	766	2788	1	en	38540	New York, NY	United States of America	US	General	http://pbs.twimg.com/profile_images/875411730679173121/l9PSFLJb_normal.jpg	153157	None	https://t.co/Z73is4fJ3x	watch?v=9mPbL5ewK7Q		
25	15872418	ABSCBNNews	ABS-CBN News	http://news.abs-cbn.com/	abscbnNEWS			https://en.wikipedia.org/wiki/ABS-CBNnews.com	https://www.alexa.com/siteinfo/abs-cbn.com	news.abs-cbn.com	1			Sat Aug 16 10:09:33 +0000 2008	Stories, video, and multimedia for Filipinos worldwide, from ABS-CBN News and Current Affairs, the Philippines' most trusted news organization.	5854111	900	1307	1	en	7400	Manila, Philippines	Philippines	PH	General	http://pbs.twimg.com/profile_images/595786514883284994/imtdEbVC_normal.jpg	598505	None	https://t.co/e2NDE5Oyaa	user/TheABSCBNNews	1.13E+20	
26	4970411	ajenglish	Al Jazeera English	http://www.aljazeera.com/	aljazeera	http://www.aljazeera.com/xml/rss/all.xml	/xml/rss/all.xml	https://en.wikipedia.org/wiki/Aljazeera.com	https://www.alexa.com/siteinfo/aljazeera.com	aljazeera.com	1			Tue Apr 17 08:23:08 +0000 2007	Everyone has a story worth hearing. Follow @AJENews for the latest news.	4933793	2510	254	1	en	51929	Doha, Qatar	Qatar	QA	General	http://pbs.twimg.com/profile_images/875638617606987776/YBOKib96_normal.jpg	205906	None	https://t.co/D38RZjLnhI	user/AlJazeeraEnglish?sub_confirmation=1	aljazeera	aljazeeraenglish
27	20751449	The_Hindu	The Hindu	http://newsite.thehindu.com/	thehindu		http://www.thehindu.com/videos/rss-may-propose-pranab-mukherjee-for-pm-in-2019-shiv-sena-mp/article24128537.ece	https://en.wikipedia.org/wiki/The_Hindu	https://www.alexa.com/siteinfo/thehindu.com	thehindu.com	1			Fri Feb 13 06:04:24 +0000 2009	News feeds from India's National Newspaper	4870649	103	192	1	en	5214	Chennai, India	India	IN	General	http://pbs.twimg.com/profile_images/627376030282416128/pYl_LmcW_normal.jpg	220525	None	http://t.co/s1JTQu1K46	user/The1878Hindu		the_hindu
28	19897138	indiatoday	India Today	http://indiatoday.intoday.in/	IndiaToday	https://www.indiatoday.in/rss	https://www.indiatoday.in/rss	https://en.wikipedia.org/wiki/India_Today_(TV_channel)	https://www.alexa.com/siteinfo/intoday.in	indiatoday.in	1			Mon Feb 02 07:21:54 +0000 2009	Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned Download App: https://t.co/PVrW5AjdTH	4807409	4342	239	1	en	5010	India	India	IN	General	http://pbs.twimg.com/profile_images/787569535880531968/3FtQQHyA_normal.jpg	532692	None	http://t.co/ICyUpGKpTg		indiatoday	
29	7587032	SkyNews	Sky News	http://news.sky.com/	skynews	http://news.sky.com/info/rss	/info/rss	https://en.wikipedia.org/wiki/Sky_News	https://www.alexa.com/siteinfo/sky.com	news.sky.com	1			Thu Jul 19 14:42:53 +0000 2007	Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.	4649301	26	27	0	en	22893	London, UK	United Kingdom	GB	General	http://pbs.twimg.com/profile_images/953341660813021185/o2IGXWqj_normal.jpg	292324	None	https://t.co/SnOv0usOtw	user/skynews	SkyNews	skynews
30	15754281	usatoday	USA TODAY	http://www.usatoday.com/	usatoday	http://www.usatoday.com/rss/	/rss/	https://en.wikipedia.org/wiki/USA_Today	https://www.alexa.com/siteinfo/usatoday.com	usatoday.com	1			Wed Aug 06 19:55:31 +0000 2008	The latest news and most interesting stories from USA TODAY. News that's meant to be shared.	3646731	1779	478	0	en	32529	USA TODAY HQ, McLean, Va.	United States of America	US	General	http://pbs.twimg.com/profile_images/924991591642796032/v90LrlR__normal.jpg	254498	None	http://t.co/7xDl0vVHSt	USATODAY		usatoday
